benchmark,implementation,vector_length,useful_macs,program_instructions,retired_instructions,cycles_to_store,total_cycles,cpi,macs_per_cycle,mmac_per_s_100mhz,speedup_vs_scalar,speedup_vs_mac8,dot_peak_utilisation_percent,first_issue_cycle,last_issue_cycle,first_completion_cycle,last_completion_cycle,first_dot_retire_cycle,last_dot_retire_cycle,dot_issue_interval,dot_completion_interval,dot_retirement_interval,load_count,dot_count,store_count,hold_cycles,final_result,pass_fail,notes
"vector_scaling","Scalar",128,128,225,225,230,230,1.022222,0.556522,55.652174,1.000000,0.582609,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0x00004f25,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","MAC8",128,128,129,129,134,134,1.038760,0.955224,95.522388,1.716418,1.000000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,128,1,0,0x00004f25,PASS,"register-resident repeated signed edge pattern"
"vector_scaling","DOT4ACC",128,128,33,33,43,43,1.303030,2.976744,297.674419,5.348837,3.116279,74.418605,4,35,7,38,8,39,1.000000,1.000000,1.000000,0,32,1,5,0x00004f25,PASS,"register-resident repeated signed edge pattern"
"same_rd_chain","DOT4ACC",4,4,2,2,12,12,6.000000,0.333333,33.333333,,,8.333333,4,4,7,7,8,8,0.000000,0.000000,0.000000,0,1,1,5,0x0000029d,PASS,"K=1 recurrence; measured issue II=0.000"
"same_rd_chain","DOT4ACC",8,8,3,3,13,13,4.333333,0.615385,61.538462,,,15.384615,4,5,7,8,8,9,1.000000,1.000000,1.000000,0,2,1,5,0x00000515,PASS,"K=2 recurrence; measured issue II=1.000"
"same_rd_chain","DOT4ACC",16,16,5,5,15,15,3.000000,1.066667,106.666667,,,26.666667,4,7,7,10,8,11,1.000000,1.000000,1.000000,0,4,1,5,0x00000a05,PASS,"K=4 recurrence; measured issue II=1.000"
"same_rd_chain","DOT4ACC",32,32,9,9,19,19,2.111111,1.684211,168.421053,,,42.105263,4,11,7,14,8,15,1.000000,1.000000,1.000000,0,8,1,5,0x000013e5,PASS,"K=8 recurrence; measured issue II=1.000"
"same_rd_chain","DOT4ACC",64,64,17,17,27,27,1.588235,2.370370,237.037037,,,59.259259,4,19,7,22,8,23,1.000000,1.000000,1.000000,0,16,1,5,0x000027a5,PASS,"K=16 recurrence; measured issue II=1.000"
"same_rd_chain","DOT4ACC",128,128,33,33,43,43,1.303030,2.976744,297.674419,,,74.418605,4,35,7,38,8,39,1.000000,1.000000,1.000000,0,32,1,5,0x00004f25,PASS,"K=32 recurrence; measured issue II=1.000"
"independent_dot","DOT4ACC",4,4,2,2,12,12,6.000000,0.333333,33.333333,,,8.333333,4,4,7,7,8,8,0.000000,0.000000,0.000000,0,1,1,5,0x0000029d,PASS,"K=1 independent destinations; measured issue II=0.000"
