Pattern: *dot_issue*
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg[chain_continue]_i_2_0[1] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[1]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg[chain_continue]_i_2_0[2] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[2]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg[chain_continue]_i_2_0[3] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[3]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg[chain_continue]_i_2_0[4] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[4]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg[chain_continue]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_issue_reg[chain_continue]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg_reg[accumulator][0] | flat_pin_count=2 | driver=cpu_inst/dot_chain_open_reg_reg/Q
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg_reg[eligible] | flat_pin_count=4 | driver=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_43/O
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg_reg[eligible]__0 | flat_pin_count=5 | driver=cpu_inst/dot_issue_reg_reg[eligible]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_issue_reg_reg[rd][3] | flat_pin_count=3 | driver=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_74/O
Pattern: *dot_complete*
  cpu_inst/dot_complete_meta_reg[chain_continue]_i_1_n_0 | flat_pin_count=8 | driver=cpu_inst/dot_complete_meta_reg[chain_continue]_i_1/O
  cpu_inst/dot_complete_meta_reg_reg[chain_continue]__0 | flat_pin_count=65 | driver=cpu_inst/dot_complete_meta_reg_reg[chain_continue]/Q
  cpu_inst/dot_complete_meta_reg_reg[eligible]__0 | flat_pin_count=2 | driver=cpu_inst/dot_complete_meta_reg_reg[eligible]/Q
  cpu_inst/dot_complete_meta_reg_reg[rd_n_0_][0] | flat_pin_count=26 | driver=cpu_inst/dot_complete_meta_reg_reg[rd][0]/Q
  cpu_inst/dot_complete_meta_reg_reg[rd_n_0_][1] | flat_pin_count=7 | driver=cpu_inst/dot_complete_meta_reg_reg[rd][1]/Q
  cpu_inst/dot_complete_meta_reg_reg[rd_n_0_][2] | flat_pin_count=25 | driver=cpu_inst/dot_complete_meta_reg_reg[rd][2]/Q
  cpu_inst/dot_complete_meta_reg_reg[rd_n_0_][3] | flat_pin_count=23 | driver=cpu_inst/dot_complete_meta_reg_reg[rd][3]/Q
  cpu_inst/dot_complete_meta_reg_reg[rd_n_0_][4] | flat_pin_count=28 | driver=cpu_inst/dot_complete_meta_reg_reg[rd][4]/Q
  cpu_inst/dot_complete_meta_reg_reg[valid_n_0_] | flat_pin_count=5 | driver=cpu_inst/dot_complete_meta_reg_reg[valid]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_complete_meta_reg_reg[chain_continue]__0 | flat_pin_count=65 | driver=cpu_inst/dot_complete_meta_reg_reg[chain_continue]/Q
